Cluster_Name,Male_Probability,Female_Probability
A1,0.0294117647058824,0.0425531914893617
A2,0.617647058823529,0.234042553191489
A3,0.352941176470588,0.723404255319149
D1,0.333333333333333,0.0384615384615385
D2,0.666666666666667,0.807692307692308
D3,0,0.153846153846154
G1,0.730769230769231,0.571428571428571
G2,0.0384615384615385,0.285714285714286
G3,0.0384615384615385,0.0357142857142857
G4,0.192307692307692,0.107142857142857
J1,0.032258064516129,0.137931034482759
J2,0.516129032258065,0.620689655172414
J3,0,0
J4,0.451612903225806,0.241379310344828
M1,0.0181818181818182,0.0169491525423729
M2,0.418181818181818,0.406779661016949
M3,0.218181818181818,0.169491525423729
M4,0.345454545454545,0.406779661016949
